"","State","Number.of.districts","Minimum","Maximum","Mean","year"
"390","Mississippi","152","2,132,000","218,370,000","19,908,625",2002
"391","Missouri","524","460,000","537,099,000","14,574,282",2002
"392","Montana","473","5,000","59,481,000","2,460,803",2002
"393","Nebraska","552","8,000","394,624,000","4,643,159",2002
"394","Nevada","17","1,415,000","2,048,404,000","172,106,059",2002
"395","New Hampshire","176","65,000","141,802,000","11,113,903",2002
"396","New Jersey","660","72,000","752,093,000","27,678,891",2002
"397","New Mexico","89","1,351,000","639,404,000","28,814,337",2002
"398","New York","702","177,000","14,503,641,000","56,552,167",2002
"399","North Carolina","211","122,000","984,394,000","47,380,668",2002
"400","North Dakota","248","52,000","89,627,000","3,381,718",2002
"401","Ohio","805","93,000","766,012,000","22,068,412",2002
"402","Oklahoma","572","294,000","352,958,000","7,811,091",2002
"403","Oregon","219","117,000","468,504,000","22,742,388",2002
"404","Pennsylvania","689","0","1,987,020,000","29,356,853",2002
"405","Rhode Island","36","3,272,000","295,784,000","44,446,861",2002
"406","South Carolina","96","784,000","499,840,000","61,431,896",2002
"407","South Dakota","176","114,000","138,284,000","5,622,114",2002
"408","Tennessee","138","1,804,000","925,389,000","46,111,283",2002
"409","Texas","1,239","169,000","1,884,168,000","29,048,508",2002
"410","Utah","40","2,488,000","402,585,000","73,207,900",2002
"411","Vermont","332","10,000","39,165,000","4,195,684",2002
"412","Virginia","134","2,994,000","1,714,514,000","76,188,037",2002
"413","Washington","296","153,000","565,568,000","28,252,216",2002
"414","West Virginia","55","8,951,000","257,066,000","44,133,018",2002
"415","Wisconsin","430","751,000","1,071,771,000","20,613,874",2002
"416","Wyoming","48","1,838,000","102,592,000","18,095,979",2002
"417","National","16,342","$0 ","$15,233,917,000 ","$28,398,919 ",2003
"418","Alabama","129","1,413,000","471,711,000","41,076,992",2003
"419","Alaska","53","558,000","528,943,000","30,382,811",2003
"420","Arizona","531","5,000","470,406,000","12,377,043",2003
"421","Arkansas","329","498,000","252,263,000","9,868,419",2003
"422","California","1,089","4,000","7,554,624,000","54,866,745",2003
"423","Colorado","198","62,000","827,039,000","33,762,773",2003
"424","Connecticut","189","0","343,611,000","35,825,175",2003
"425","Delaware","32","43,000","220,609,000","42,401,500",2003
"426","District of Columbia","1","1,105,963,000","1,105,963,000","1,105,963,000",2003
"427","Florida","67","8,600,000","3,008,568,000","301,196,149",2003
"428","Georgia","196","2,120,000","1,131,938,000","68,963,179",2003
"429","Hawaii","1","1,602,392,000","1,602,392,000","1,602,392,000",2003
"430","Idaho","114","60,000","197,441,000","15,148,605",2003
"431","Illinois","1,034","13,000","4,159,228,000","20,578,508",2003
"432","Indiana","327","250,000","465,628,000","29,935,572",2003
"433","Iowa","386","1,084,000","337,023,000","11,704,637",2003
"434","Kansas","302","643,000","392,510,000","12,644,834",2003
"435","Kentucky","176","1,428,000","770,624,000","26,707,352",2003
"436","Louisiana","66","9,556,000","507,741,000","83,565,485",2003
"437","Maine","293","1,000","86,836,000","7,351,935",2003
"438","Maryland","24","28,199,000","1,675,750,000","363,854,917",2003
"439","Massachusetts","377","0","1,000,697,000","30,192,037",2003
"440","Michigan","798","85,000","2,005,909,000","24,668,811",2003
"441","Minnesota","493","0","646,658,000","18,378,874",2003
"442","Mississippi","152","2,532,000","220,620,000","21,086,796",2003
"443","Missouri","524","492,000","554,826,000","15,086,796",2003
"444","Montana","471","4,000","67,930,000","2,579,361",2003
"445","Nebraska","535","4,000","427,678,000","4,904,609",2003
"446","Nevada","17","1,518,000","2,107,939,000","177,001,647",2003
"447","New Hampshire","176","55,000","148,835,000","12,060,250",2003
"448","New Jersey","661","61,000","923,035,000","30,169,920",2003
"449","New Mexico","89","1,224,000","652,752,000","29,866,742",2003
"450","New York","702","231,000","15,233,917,000","59,442,313",2003
"451","North Carolina","210","207,000","996,960,000","48,228,771",2003
"452","North Dakota","247","49,000","98,024,000","3,624,607",2003
